2023-09-21 01:22:34 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-09-21 01:22:34 [main] INFO  c.m.d.e.q.s.ElasticQueryServiceApplication - Starting ElasticQueryServiceApplication using Java 11.0.16 on localhost.localdomain with PID 21884 (/root/Downloads/technicalWork/idea-IC-222.3345.118/microservices-demo/elastic-query-service/target/classes started by root in /root/Downloads/technicalWork/idea-IC-222.3345.118/microservices-demo)
2023-09-21 01:22:34 [main] INFO  c.m.d.e.q.s.ElasticQueryServiceApplication - The following 1 profile is active: "elastic_query"
2023-09-21 01:22:34 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8888
2023-09-21 01:22:34 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=config-client-elastic_query, profiles=[elastic_query], label=null, version=e6f9b332449305e44c31ebed8ba0e77c2ecb94fc, state=null
2023-09-21 01:22:36 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2023-09-21 01:22:36 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Elasticsearch repository interfaces.
2023-09-21 01:22:36 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2023-09-21 01:22:36 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Reactive Elasticsearch repository interfaces.
2023-09-21 01:22:36 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2973dce7-4fed-3bbe-a4ec-bdc8ab8f00af
2023-09-21 01:22:36 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8183 (http)
2023-09-21 01:22:36 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8183"]
2023-09-21 01:22:36 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-09-21 01:22:36 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-09-21 01:22:37 [main] INFO  o.a.c.c.C.[.[.[/elastic-query-service] - Initializing Spring embedded WebApplicationContext
2023-09-21 01:22:37 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2176 ms
2023-09-21 01:22:38 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/api-docs']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-09-21 01:22:38 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/api-docs']
2023-09-21 01:22:38 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@35b3c1f6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@495da9a7, org.springframework.security.web.context.SecurityContextPersistenceFilter@15d79b70, org.springframework.security.web.header.HeaderWriterFilter@27e21083, org.springframework.security.web.authentication.logout.LogoutFilter@4eb1943b, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@42503099, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@45424c0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5fa5c8cf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2beee3e8, org.springframework.security.web.session.SessionManagementFilter@6921cfa, org.springframework.security.web.access.ExceptionTranslationFilter@35536760, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2a42019a]
2023-09-21 01:22:39 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8183"]
2023-09-21 01:22:39 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8183 (http) with context path '/elastic-query-service'
2023-09-21 01:22:39 [main] INFO  c.m.d.e.q.s.ElasticQueryServiceApplication - Started ElasticQueryServiceApplication in 11.271 seconds (JVM running for 12.451)
